ID,Name,Name_DE,Ing,Icon,Form,Type1,Type2,Generation,Hight,Gewicht,Pre_Evo,Post_Evo,Evo_Typ
1,Bulbasaur,Bisasam,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/001.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/001.png,,Grass,Poison,1,0.7,6.9,,Ivysaur,LevelUp
2,Ivysaur,Bisaknosp,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/002.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/002.png,,Grass,Poison,1,1,13,Bulbasaur,Venusaur,LevelUp
3,Venusaur,Bisaflor,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/003.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/003.png,,Grass,Poison,1,2,100,Ivysaur,,LevelUp
4,Charmander,Glumanda,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/004.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/004.png,,Fire,,1,0.6,8.5,,Charmeleon,LevelUp
5,Charmeleon,Glutexo,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/005.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/005.png,,Fire,,1,1.1,19,Charmander,Charizard,LevelUp
6,Charizard,Glurak,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/006.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/006.png,,Fire,Flying,1,1.7,90.5,Charmeleon,,LevelUp
7,Squirtle,Schiggy,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/007.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/007.png,,Water,,1,0.5,9,,Wartortle,LevelUp
8,Wartortle,Schillok,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/008.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/008.png,,Water,,1,1,22.5,Squirtle,Blastoise,LevelUp
9,Blastoise,Turtok,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/009.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/009.png,,Water,,1,1.6,85.5,Wartortle,,LevelUp
10,Caterpie,Raupy,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/010.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/010.png,,Bug,,1,0.3,2.9,,Metapod,LevelUp
11,Metapod,Safcon,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/011.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/011.png,,Bug,,1,0.7,9.9,Caterpie,Butterfree,LevelUp
12,Butterfree,Smettbo,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/012.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/012.png,,Bug,Flying,1,1.1,32,Metapod,,LevelUp
13,Weedle,Hornliu,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/013.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/013.png,,Bug,Poison,1,0.3,3.2,,Kakuna,LevelUp
14,Kakuna,Kokuna,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/014.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/014.png,,Bug,Poison,1,0.6,10,Weedle,Beedrill,LevelUp
15,Beedrill,Bibor,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/015.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/015.png,,Bug,Poison,1,1,29.5,Kakuna,,LevelUp
16,Pidgey,Taubsi,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/016.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/016.png,,Normal,Flying,1,0.3,1.8,,Pidgeotto,LevelUp
17,Pidgeotto,Tauboga,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/017.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/017.png,,Normal,Flying,1,1.1,30,Pidgey,Pidgeot,LevelUp
18,Pidgeot,Tauboss,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/018.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/018.png,,Normal,Flying,1,1.5,39.5,Pidgeotto,,LevelUp
